Employee_ID,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Attrition_rate
EID_11135,0,33.0,2.0,0,Lebanon,Logistics,Conceptual,7.0,4.0,39.0,1.0,2.0,4.0,type3,2.0,3.0,0.7516,-1.615,2.0,3.0,7.0,3.0,0.5735
EID_21061,1,45.0,3.0,0,Lebanon,Sales,Analytical,13.0,4.0,22.0,1.0,2.0,5.0,type3,1.0,3.0,0.7516,0.7075,2.0,3.0,8.0,1.0,
EID_3125,0,59.0,4.0,0,Lebanon,Marketing,Behavioral,15.065063757510767,4.0,33.0,1.0,2.0,3.0,type2,1.0,3.0,-0.9612,-0.4537,2.0,2.0,9.0,5.0,0.031
EID_19222,0,19.0,4.0,0,Springfield,IT,Behavioral,0.0,0.0,20.0,1.0,4.0,4.0,type2,1.0,3.0,-0.9612,-1.615,3.0,2.0,6.0,3.0,0.1467
EID_6652,1,44.0,4.0,1,Washington,Logistics,Analytical,16.0,4.0,32.0,0.0,3.0,6.0,type2,1.0,2.0,0.7516,-0.4537,2.0,3.0,6.0,4.0,0.4782
EID_4291,1,57.0,3.0,0,Franklin,Purchasing,Conceptual,27.0,2.0,50.0,1.0,3.0,9.0,type2,3.0,3.0,0.016878345966435344,0.7075,1.895053793385714,3.0,8.0,3.0,0.0026
EID_2383,0,57.0,2.0,1,Lebanon,Sales,Analytical,24.0,4.0,40.0,1.0,2.0,4.0,type2,3.0,3.0,-0.1048,0.7075,2.0,4.0,5.0,3.0,0.5785
EID_5736,0,63.0,3.0,0,Washington,IT,Analytical,39.0,2.0,21.0,0.0,3.0,9.0,type2,3.0,3.0,-0.1048,-0.4537,2.0,4.0,5.0,3.0,0.1092
EID_1830,0,55.0,3.0,1,Washington,Human Resource Management,Directive,26.0,1.0,51.0,1.0,3.0,6.0,type2,2.0,3.0,-0.9612,-0.4537,2.0,2.0,8.0,3.0,0.2968
EID_6127,1,54.0,3.0,0,Springfield,Sales,Analytical,17.0,2.0,33.0,1.0,3.0,2.0,type2,3.0,5.0,-0.9612,0.7075,2.0,3.0,7.0,3.0,0.1892
EID_20702,1,60.0,2.0,1,Franklin,R&D,Directive,26.0,4.0,63.0,1.0,3.0,1.0,type2,4.0,2.0,-0.9612,0.7075,3.0,1.0,9.0,3.0,0.0678
EID_21533,0,45.0,4.0,0,Clinton,IT,Analytical,10.0,1.0,63.0,0.0,2.0,4.0,type2,2.0,3.0,-0.1048,-0.4537,2.0,2.0,7.0,1.0,0.1736
EID_14665,1,33.0,5.0,0,Washington,R&D,Behavioral,10.0,4.0,67.0,1.0,4.0,6.0,type2,3.0,3.0,-0.1048,-1.615,2.0,2.0,6.0,4.0,
EID_15805,0,27.0,2.0,0,Franklin,Operarions,Conceptual,4.0,2.0,72.0,0.0,5.0,7.0,type2,1.0,3.0,-1.8176,-1.615,1.9061081948905214,4.0,8.0,5.0,
EID_15281,0,31.0,4.0,0,Lebanon,Logistics,Behavioral,9.0,3.0,48.0,1.0,2.0,4.0,type2,1.0,4.0,0.7516,0.7075,2.0,4.0,7.0,3.0,
EID_8567,1,43.0,3.0,1,Springfield,IT,Directive,4.0,3.0,61.0,0.0,1.0,4.0,type2,1.0,4.0,0.7516,1.8688,1.0,4.0,8.0,3.0,0.1039
EID_1390,0,58.0,2.0,0,Springfield,Logistics,Conceptual,32.0,1.0,72.0,0.0,3.0,5.0,type2,3.0,3.0,0.7516,0.7075,1.0,4.0,8.0,3.0,0.2596
EID_2919,1,56.0,1.0,0,Lebanon,Accounting and Finance,Conceptual,24.0,1.0,30.0,2.0,3.0,8.0,type3,3.0,3.0,-0.1048,-0.4537,2.0,3.0,8.0,1.0,0.1702
EID_24199,1,25.0,2.0,1,Washington,Logistics,Conceptual,6.0,4.0,63.0,0.0,5.0,9.0,type3,4.0,5.0,-0.9612,-0.4537,1.0,4.0,8.0,4.0,0.1153
EID_20236,0,22.0,3.0,0,Clinton,Operarions,Conceptual,3.0,3.0,67.0,1.0,2.0,9.0,type2,3.0,5.0,0.7516,-0.4537,2.0,2.0,5.0,1.0,0.7286
EID_6668,0,52.0,4.0,0,Lebanon,R&D,Directive,25.0,4.0,46.0,1.0,1.0,7.0,type3,3.0,2.0,0.7516,0.7075,1.8924501768671174,2.0,8.0,4.0,
EID_20763,1,25.0,3.0,0,Lebanon,Quality,Conceptual,6.0,3.0,47.0,0.0,2.0,8.0,type3,1.0,5.0,-1.8176,0.7075,1.8938418543633904,4.0,7.0,3.0,0.0227
EID_22956,1,35.0,1.0,0,Washington,Accounting and Finance,Directive,6.0,3.0,61.0,2.0,2.0,8.0,type3,3.0,3.0,-1.8176,-0.4537,2.0,1.0,7.0,3.0,
EID_1588,1,60.0,1.0,1,Lebanon,IT,Analytical,38.0,4.0,34.0,1.0,3.0,9.0,type2,3.0,3.0,-1.8176,-1.615,2.0,3.0,7.0,5.0,0.0335
EID_3609,1,50.0,2.0,0,Springfield,Production,Behavioral,28.0,4.0,38.0,2.0,4.0,6.0,type2,3.0,3.0,0.7516,-0.4537,2.0,3.0,6.0,3.0,
EID_7351,1,46.0,4.0,1,Washington,Security,Analytical,19.0,3.0,32.0,0.0,2.0,3.0,type3,4.0,3.0,0.7516,0.7075,2.0,3.0,6.0,3.0,
